Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
1341,163,3.0,65.59259727460221,45.34938347936525,7.0,5,12.0,1973,0.007658515,B,B,35,7077,56,2301.0,3,19,B
12960,42,2.0,62.09399269684086,33.06569656045394,11.0,6,9.0,2005,0.158249043,B,B,21,5731,0,1177.4606946983547,1,0,B
2461,72,2.0,103.1143565395187,4.312838467615933,1.0,34,37.0,2015,0.210473241,B,B,11,2398,2,1994.0,3,0,B
2985,93,2.0,50.41316689165616,32.77504168048897,6.0,2,12.0,1976,0.521867054,B,B,25,6149,0,1177.4606946983547,0,0,B
5935,119,1.0,40.474493596525015,19.95855187800395,7.0,5,17.0,2004,0.033493708,B,B,66,10573,1,1322.0,3,8,B
13881,58,3.0,82.91116098794275,74.68466381806688,9.0,15,14.0,1969,0.1489038909999999,B,B,9,1952,1,1430.0,3,2,B
7822,23,1.0,30.68826637736664,36.56198486780415,1.0,3,10.0,1977,0.034656082,B,B,0,168,0,1177.4606946983547,0,0,B
13691,27,1.0,38.990808662488135,36.85458567665953,1.0,4,15.0,2014,0.011654127,B,B,4,915,0,1177.4606946983547,0,0,B
7633,53,1.0,40.67562653962813,36.56198486780415,1.0,21,21.0,1977,0.049637257,B,B,34,7759,0,229.0,1,3,B
1005,124,2.0,74.40897857258693,43.72886100682892,4.0,8,40.0,2015,0.174739084,B,B,17,3379,9,100.0,0,3,B
2190,18,3.0,77.29932268221367,45.38316355955875,10.0,16,17.0,1986,0.0,B,B,30,5562,0,1177.4606946983547,0,5,A
3892,41,2.0,45.98948346494266,32.05267485780537,6.0,6,12.0,1969,0.175054867,B,B,36,10055,3,1177.4606946983547,1,0,B
9780,153,3.0,81.41855188888894,48.5060919782026,8.0,8,14.0,1997,0.033493708,B,B,66,10573,1,1322.0,3,8,B
1986,58,2.0,63.076112745202856,36.56198486780415,1.0,14,17.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
5459,57,3.0,66.06909879254765,49.78674499708658,8.0,5,5.0,1977,0.133215333,B,B,49,11395,3,1406.0,3,4,A
12287,22,3.0,83.62629793628456,36.56198486780415,1.0,17,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
12486,31,3.0,78.59317604160445,55.46221843667482,9.0,2,5.0,1958,0.151346216,B,A,32,5889,10,830.0,4,1,B
7227,34,1.0,52.12702870114566,36.56198486780415,9.0,13,25.0,2017,0.069753361,B,B,53,13670,4,1177.4606946983547,1,11,B
6258,6,1.0,38.19378980253248,36.56198486780415,0.0,12,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
6505,23,2.0,64.8609464262844,36.56198486780415,1.0,23,25.0,1977,0.075778755,B,B,6,1437,3,1177.4606946983547,0,2,B
12516,2,1.0,34.32040411603148,24.802507732913146,5.0,3,5.0,1964,0.0,B,B,33,7425,1,1177.4606946983547,2,5,B
7221,23,3.0,77.14029916443603,36.56198486780415,1.0,21,25.0,1977,0.075778755,B,B,6,1437,3,1177.4606946983547,0,2,B
6777,5,3.0,100.54667051636532,58.492936397264494,12.0,15,17.0,2019,0.150817539,B,B,16,3433,4,2643.0,4,5,B
9355,58,1.0,36.661313849706985,22.48330909595832,6.0,3,9.0,1972,0.31019913,B,B,11,2748,1,1177.4606946983547,0,0,B
12691,18,2.0,54.118200503187,30.99432610729178,8.0,11,17.0,1977,0.0,B,B,30,5562,0,1177.4606946983547,0,5,A
1060,88,3.0,63.32311455680478,48.86704611416195,7.0,14,12.0,1973,0.127375905,B,B,43,8429,3,1177.4606946983547,3,9,B
5043,29,2.0,42.489787935475455,30.99544356195458,5.0,9,5.0,1965,0.069660344,B,B,31,6119,4,1177.4606946983547,1,2,B
8956,28,2.0,41.52703436743553,27.006878919666296,5.0,3,12.0,1976,0.118537385,B,B,30,6207,1,1183.0,1,0,B
15364,29,3.0,79.70643036952208,46.94873269324191,12.0,9,16.0,1986,0.069660344,B,B,31,6119,4,1177.4606946983547,1,2,B
1962,20,2.0,61.58773292082883,38.819500183625394,10.0,16,17.0,1991,0.019508796,B,B,37,7687,11,176.0,5,5,B
9258,62,3.0,87.18684394922536,86.65054388332146,1.0,9,21.0,2019,0.072157581,B,B,2,629,1,1177.4606946983547,0,0,A
15928,68,3.0,74.83381147146947,51.1692246915044,6.0,4,19.0,1970,0.0,B,B,33,7425,1,1177.4606946983547,2,5,B
2334,105,3.0,57.99859154562751,43.21438845235581,5.0,7,9.0,1970,0.040242764,B,B,25,3478,11,2729.0,3,1,B
10380,53,2.0,47.919918217055645,31.457344597737123,6.0,9,9.0,1972,0.313924552,B,B,22,4625,11,3855.0,2,10,B
16730,99,3.0,62.56608122373083,41.58604575681378,8.0,3,9.0,1975,0.012338886,B,B,35,5776,1,2078.0,2,4,B
7992,139,1.0,37.09581464943051,23.51487133365196,6.0,19,17.0,2007,0.122090347,B,B,29,6566,7,1894.0,4,0,B
5857,26,1.0,56.68845982053818,2.132381476612484,1.0,8,20.0,2013,0.0,B,B,36,6714,2,2672.0,0,2,B
11704,4,2.0,55.94133754638765,35.136442992474535,8.0,3,9.0,1962,0.327018035,B,B,12,2270,23,2500.0,1,0,B
14232,75,1.0,34.59139014753839,18.76559975769299,9.0,13,12.0,1970,0.307466659,B,A,30,5048,9,325.0,2,5,B
9280,1,1.0,43.43652736126389,36.56198486780415,1.0,8,22.0,1977,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
3823,51,1.0,41.1644143261528,20.377670492098662,7.0,5,6.0,1918,0.015016892,B,B,17,3079,59,2890.0,0,8,B
5722,10,1.0,38.63515515559854,20.97625713766785,9.0,8,14.0,1970,0.089039719,B,B,33,7976,5,1177.4606946983547,0,11,B
10839,81,2.0,48.56876995813277,34.747282495930754,5.0,5,5.0,1964,0.006076152,B,B,30,5285,0,645.0,6,6,B
13924,9,1.0,41.26247404924529,36.56198486780415,1.0,2,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
13453,13,2.0,64.0284445542039,35.12994731406149,10.0,14,22.0,1998,0.090799103,B,B,74,19083,2,1177.4606946983547,5,15,B
13196,23,3.0,70.41757284325949,36.56198486780415,1.0,4,1.0,1977,0.005767451,B,B,1,388,0,1177.4606946983547,0,0,B
6052,62,1.0,53.75248825796945,36.56198486780415,1.0,6,4.0,2014,0.072157581,B,B,2,629,1,1177.4606946983547,0,0,A
9436,101,2.0,47.13937180143312,31.05802601619266,5.0,6,5.0,1966,0.038692987,B,B,28,6533,1,1015.0,2,5,B
5470,1,3.0,83.55558586910166,36.56198486780415,1.0,10,17.0,1977,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
6704,9,2.0,37.57152775299856,20.30506094031989,7.0,11,17.0,1990,0.161531741,B,B,25,5648,1,30.0,2,4,B
230,53,2.0,58.1265996957742,56.44746525550964,1.0,4,19.0,2018,0.049637257,B,B,34,7759,0,229.0,1,3,B
11129,208,1.0,32.770108538675885,22.616294913566627,5.0,4,5.0,1961,0.042031587,B,B,37,6856,84,1940.0,2,5,B
13140,20,2.0,55.82361543646923,34.8230559652618,9.0,4,12.0,1984,0.019508796,B,B,37,7687,11,176.0,5,5,B
7229,147,1.0,37.148797315910286,19.33222494543072,9.0,9,12.0,1969,0.319809354,B,B,25,4756,16,2857.0,5,8,B
15110,58,2.0,67.10410799490195,36.56198486780415,1.0,5,3.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
9326,2,3.0,67.48336609957838,50.00576503120798,7.0,17,16.0,1993,0.309479124,B,B,35,7715,4,990.0,0,6,B
15275,11,2.0,52.85537451351156,32.55957100018501,12.0,12,16.0,1975,0.0001696759999999,B,B,36,5992,0,1177.4606946983547,1,1,B
2867,27,1.0,47.98972723597618,36.56198486780415,1.0,4,12.0,1977,0.072157581,B,B,2,629,1,1177.4606946983547,0,0,A
10961,45,1.0,40.00953288374423,21.12396984052312,10.0,17,17.0,2017,0.195781053,B,B,23,5212,6,1177.4606946983547,3,2,B
5468,17,1.0,29.080104822813727,21.954910006746715,4.0,3,8.0,1960,0.0,B,B,25,5027,4,46.0,1,1,B
16085,44,1.0,38.862075559132094,23.45930942486473,6.0,9,9.0,1981,0.036122292,B,B,24,4378,0,1036.0,1,1,B
16531,93,3.0,136.38939120926491,136.68919128618822,0.0,1,1.0,1977,0.004949358,B,B,0,186,0,1177.4606946983547,0,0,B
14130,6,2.0,56.377562258622646,36.56198486780415,1.0,19,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
3196,27,3.0,105.95036744135317,36.56198486780415,1.0,3,6.0,1977,0.07542368,B,B,11,3097,0,1177.4606946983547,0,0,B
8995,28,2.0,55.98941167215157,29.41056658606215,11.0,2,16.0,1990,0.118537385,B,B,30,6207,1,1183.0,1,0,B
2009,23,1.0,28.025001004529344,3.625649033766236,1.0,13,17.0,2017,0.034656082,B,B,0,168,0,1177.4606946983547,0,0,B
15543,3,1.0,33.0855116137428,22.161536466656138,6.0,4,9.0,1976,0.265088676,B,B,37,5288,0,1937.0,3,2,B
12548,88,1.0,31.754427885838336,18.963864458629487,6.0,3,12.0,1973,0.127375905,B,B,43,8429,3,1177.4606946983547,3,9,B
7095,99,2.0,55.436380015999,36.10374434380473,9.0,13,14.0,1998,0.033493708,B,B,66,10573,1,1322.0,3,8,B
14417,129,1.0,32.6501518721227,19.985637220260863,6.0,3,8.0,1964,0.020741326,B,B,24,5613,5,1340.0,2,5,B
9391,6,3.0,74.13712826120147,36.56198486780415,12.0,4,17.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
7146,37,1.0,34.74905631977109,19.42780404139173,8.0,3,14.0,1974,0.127811589,B,B,28,7287,5,320.0,1,3,B
1828,71,1.0,41.38197657689248,22.72549199401561,8.0,11,12.0,1983,0.407276235,A,B,9,1768,0,370.0,0,0,A
11934,17,2.0,44.29479364905393,33.70997342946917,5.0,7,8.0,1963,0.0,B,B,25,5027,4,46.0,1,1,B
2982,6,2.0,63.46068440528138,36.56198486780415,0.0,13,0.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
1048,1,2.0,65.36283658473874,36.56198486780415,1.0,12,17.0,1977,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
7735,33,1.0,31.725006444127565,33.088428227777854,1.0,4,4.0,2017,0.236108458,B,B,16,3893,27,1177.4606946983547,3,10,B
8979,57,3.0,55.54495973521265,38.51322859173509,5.0,7,5.0,1962,0.133215333,B,B,49,11395,3,1406.0,3,4,A
2264,100,1.0,65.67250886585836,63.19721162004882,1.0,16,16.0,2017,0.200146802,B,B,23,3975,8,770.0,2,0,B
5547,156,1.0,41.68799420642208,20.1483368541395,7.0,6,14.0,2011,0.007658515,B,B,35,7077,56,2301.0,3,19,B
15080,66,2.0,49.31607362699826,32.0128912202699,6.0,6,9.0,1973,0.111627393,B,B,50,12238,8,1970.0,2,3,B
10272,9,3.0,77.67927907920622,45.32494510197428,10.0,3,14.0,1992,0.161531741,B,B,25,5648,1,30.0,2,4,B
10686,40,2.0,49.63912673136277,33.59330479506131,5.0,6,5.0,1962,0.210473241,B,B,11,2398,2,1994.0,3,0,B
15859,13,3.0,82.31104819265433,45.73843640064102,12.0,12,17.0,2001,0.090799103,B,B,74,19083,2,1177.4606946983547,5,15,B
8410,46,1.0,36.72663022974941,18.23662513248784,6.0,8,12.0,1980,0.0,B,B,47,11319,0,1145.0,3,5,B
8993,6,2.0,66.88541292977659,59.60894188781763,1.0,16,25.0,2018,0.243204519,B,B,5,1564,0,540.0,0,0,B
4023,35,3.0,65.52593609057224,44.37310620565854,6.0,9,12.0,1972,0.089039719,B,B,33,7976,5,1177.4606946983547,0,11,B
4819,31,3.0,61.22696118742204,49.0405886972996,5.0,4,5.0,1960,0.151346216,B,A,32,5889,10,830.0,4,1,B
8165,62,3.0,139.1015233124246,36.56198486780415,20.0,4,3.0,2015,0.072157581,B,B,2,629,1,1177.4606946983547,0,0,A
12380,56,1.0,42.0319326399969,23.98954224401601,8.0,7,17.0,1985,0.0,B,B,23,5067,4,1177.4606946983547,2,6,B
11065,3,2.0,48.47398458140175,32.727960815080465,5.0,4,12.0,1972,0.265088676,B,B,37,5288,0,1937.0,3,2,B
6765,27,2.0,41.07012044162251,36.56198486780415,0.0,5,12.0,1977,0.072157581,B,B,2,629,1,1177.4606946983547,0,0,A
15181,27,4.0,104.66420890942148,66.90356254305692,1.0,4,1.0,2016,0.017647053,B,B,2,469,0,1177.4606946983547,0,0,B
7976,23,2.0,64.40535431930748,36.56198486780415,1.0,16,25.0,1977,0.075778755,B,B,6,1437,3,1177.4606946983547,0,2,B
6675,0,2.0,48.47182230922556,33.79465544997723,9.0,12,12.0,1965,0.319809354,B,B,25,4756,16,2857.0,5,8,B
10415,34,3.0,79.63878195153258,47.43378078671229,10.0,16,17.0,1999,0.069753361,B,B,53,13670,4,1177.4606946983547,1,11,B
6044,88,3.0,86.65714338850424,36.56198486780415,1.0,17,17.0,1977,0.127375905,B,B,43,8429,3,1177.4606946983547,3,9,B
6760,38,1.0,46.12544858899494,36.56198486780415,1.0,4,17.0,1977,0.060753049,B,B,15,2787,2,520.0,0,7,B
329,52,3.0,83.47977041020677,36.56198486780415,1.0,9,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
11359,27,2.0,48.6670346648681,33.66285752679401,6.0,4,4.0,1963,0.211401214,B,B,9,1892,0,1177.4606946983547,0,1,B
5363,129,4.0,88.9759487399017,51.63742926002141,8.0,3,25.0,1991,0.020741326,B,B,24,5613,5,1340.0,2,5,B
8617,111,1.0,41.063553078297936,24.84398582744951,8.0,9,17.0,1987,0.093442564,B,B,23,4635,5,3300.0,2,4,B
11715,121,2.0,53.62915240245624,31.75439800850781,10.0,10,16.0,1977,0.212515361,B,B,19,3293,16,628.0,3,7,B
10798,23,3.0,69.58489082726886,36.56198486780415,1.0,1,3.0,1977,0.005767451,B,B,1,388,0,1177.4606946983547,0,0,B
2839,106,1.0,34.66579307763766,24.67803111569925,5.0,1,5.0,1966,0.246031548,B,A,22,3151,4,2715.0,3,3,B
4519,27,1.0,45.07504768609783,44.26154470345653,1.0,11,17.0,2016,0.072157581,B,B,2,629,1,1177.4606946983547,0,0,A
9665,74,1.0,47.60704077083561,36.56198486780415,1.0,9,9.0,1977,0.075778755,B,B,6,1437,3,1177.4606946983547,0,2,B
15918,30,1.0,32.066234838333685,36.56198486780415,1.0,5,17.0,2016,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2163,9,3.0,75.43417765765577,42.48023647854807,9.0,22,22.0,1987,0.136244425,B,B,11,2370,0,1177.4606946983547,0,1,B
3520,83,1.0,44.05236661286487,23.189031883359963,8.0,7,12.0,1978,0.0077202819999999,B,B,38,4788,2,1177.4606946983547,0,4,B
7201,75,1.0,38.23667716648407,23.37185404177729,9.0,15,16.0,1978,0.307466659,B,A,30,5048,9,325.0,2,5,B
7240,52,2.0,62.221255681985006,64.93554187172954,10.0,11,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
7438,1,2.0,63.51375386290896,36.56198486780415,1.0,2,20.0,1977,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
13409,81,4.0,82.06977462328071,50.27325182420352,7.0,6,5.0,1960,0.319809354,B,B,25,4756,16,2857.0,5,8,B
7348,53,2.0,58.06402060019615,59.26992208417991,1.0,8,19.0,2017,0.049637257,B,B,34,7759,0,229.0,1,3,B
14579,27,3.0,77.38424831726405,76.90490253082197,10.0,12,19.0,2016,0.211401214,B,B,9,1892,0,1177.4606946983547,0,1,B
11291,6,2.0,53.60679427325993,1.3204392917261951,1.0,15,17.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B
5448,160,2.0,46.9080739635246,28.09267128263225,6.0,8,9.0,1978,0.0,B,B,39,8647,0,810.0,0,5,B
12787,129,1.0,39.34314978631932,21.02378501374742,8.0,4,5.0,1961,0.020741326,B,B,24,5613,5,1340.0,2,5,B
15974,96,1.0,42.56313368646379,19.530069980686356,8.0,6,17.0,2008,0.041116354,B,B,53,14892,4,1177.4606946983547,1,4,B
8290,2,2.0,48.652370358639295,45.78068717602541,5.0,15,14.0,1971,0.309479124,B,B,35,7715,4,990.0,0,6,B
2638,27,2.0,59.42716907892767,36.56198486780415,1.0,7,19.0,1977,0.211401214,B,B,9,1892,0,1177.4606946983547,0,1,B
16123,30,2.0,96.03644821402222,36.56198486780415,1.0,4,17.0,2016,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
6456,0,2.0,37.63050067664928,21.339168295384805,6.0,9,9.0,1967,0.319809354,B,B,25,4756,16,2857.0,5,8,B
5102,103,3.0,52.30670258670207,35.36560211641908,6.0,6,5.0,1963,0.151346216,B,A,32,5889,10,830.0,4,1,B
3912,101,1.0,33.65672310743387,19.00325903528036,5.0,2,5.0,1966,0.038692987,B,B,28,6533,1,1015.0,2,5,B
13535,30,2.0,64.30827482030163,36.56198486780415,1.0,2,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
5529,5,3.0,104.95680645684295,103.02163388055138,1.0,10,25.0,2015,0.150817539,B,B,16,3433,4,2643.0,4,5,B
6495,27,2.0,52.34385713548685,33.71750039045065,5.0,3,5.0,1977,0.005819206,B,B,1,342,0,1177.4606946983547,0,0,B
414,76,2.0,67.60980813005817,41.17594768866497,5.0,46,48.0,2002,0.0,B,B,7,1660,39,1786.0,1,5,B
9867,61,2.0,49.45470477600306,27.34666443789824,6.0,7,9.0,1976,0.300322518,B,B,52,10311,6,1177.4606946983547,1,9,B
11199,41,2.0,48.10559143801014,30.55838550895391,5.0,7,9.0,1971,0.175054867,B,B,36,10055,3,1177.4606946983547,1,0,B
7044,6,2.0,61.93963790162919,58.02806000443961,1.0,12,17.0,2014,0.243204519,B,B,5,1564,0,540.0,0,0,B
15378,34,4.0,104.90571026096268,65.51596162228621,10.0,18,22.0,2002,0.069753361,B,B,53,13670,4,1177.4606946983547,1,11,B
14180,60,1.0,37.357989544334266,17.785678488988694,7.0,7,7.0,2000,0.007658515,B,B,35,7077,56,2301.0,3,19,B
16274,113,1.0,103.76343427522282,104.9269218097437,1.0,21,20.0,2014,0.050755569,B,B,24,5469,1,145.0,0,1,B
10286,1,1.0,38.057566250785925,36.56198486780415,0.0,3,17.0,1977,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
12529,47,1.0,41.9138065319164,19.623610186131916,9.0,12,17.0,2007,0.101872465,B,B,23,4583,3,1177.4606946983547,3,3,B
5452,27,1.0,48.58791283401774,42.59618990044878,12.0,3,2.0,2016,0.017647053,B,B,2,469,0,1177.4606946983547,0,0,B
13272,22,3.0,77.21435258319225,36.56198486780415,1.0,14,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
4994,38,3.0,87.3583065374067,48.261594951011325,11.0,15,16.0,2002,0.060753049,B,B,15,2787,2,520.0,0,7,B
13305,73,1.0,47.48615091904804,44.34693531879008,1.0,10,10.0,2015,0.042031587,B,B,37,6856,84,1940.0,2,5,B
6995,2,3.0,78.03654971878008,47.78048972243412,10.0,8,17.0,1990,0.0,B,B,33,7425,1,1177.4606946983547,2,5,B
11540,6,3.0,82.7109475676141,46.981171811890384,9.0,13,17.0,2010,0.243204519,B,B,5,1564,0,540.0,0,0,B
134,12,2.0,55.40477695488126,30.48129671169313,8.0,15,14.0,1991,0.090799103,B,B,74,19083,2,1177.4606946983547,5,15,B
3843,20,2.0,38.476694797277176,23.750168536329163,6.0,12,12.0,1966,0.019508796,B,B,37,7687,11,176.0,5,5,B
13575,74,1.0,35.34450083565937,36.56198486780415,1.0,7,17.0,1977,0.075778755,B,B,6,1437,3,1177.4606946983547,0,2,B
12200,53,2.0,39.97447788268036,24.628913133608823,6.0,5,12.0,1973,0.049637257,B,B,34,7759,0,229.0,1,3,B
13304,67,2.0,45.716755083887385,31.28124383122997,6.0,8,9.0,1976,0.100455735,B,B,43,7227,0,1177.4606946983547,1,6,A
4222,55,2.0,57.33727924597143,36.6787410818435,9.0,16,17.0,1998,0.041365446,B,B,31,5569,0,1177.4606946983547,1,4,B
746,74,1.0,53.83705552291424,36.56198486780415,1.0,8,17.0,1977,0.309479124,B,B,35,7715,4,990.0,0,6,B
5038,58,2.0,53.19004149713789,10.816032672663471,9.0,15,14.0,2005,0.050755569,B,B,24,5469,1,145.0,0,1,B
4301,44,2.0,60.68246576789922,37.55960236019028,10.0,16,22.0,2014,0.232205084,B,B,24,4860,1,80.0,0,3,B
526,55,2.0,51.1847842036267,34.48137596395961,8.0,2,14.0,1990,0.041365446,B,B,31,5569,0,1177.4606946983547,1,4,B
13607,62,3.0,83.00387547741258,36.56198486780415,0.0,12,0.0,1977,0.072157581,B,B,2,629,1,1177.4606946983547,0,0,A
9236,1,2.0,62.063715062405,65.54714336696316,0.0,12,17.0,1977,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
2676,37,1.0,40.660754920477984,22.73838135672151,8.0,8,14.0,1978,0.127811589,B,B,28,7287,5,320.0,1,3,B
8845,203,2.0,50.417709324085074,27.58797092934184,7.0,5,4.0,1977,0.015016892,B,B,17,3079,59,2890.0,0,8,B
2392,9,3.0,78.68034437272391,44.54847497197399,10.0,6,17.0,1993,0.069753361,B,B,53,13670,4,1177.4606946983547,1,11,B
12312,75,1.0,31.351814626237275,20.075221729220942,5.0,7,5.0,1966,0.307466659,B,A,30,5048,9,325.0,2,5,B
4407,52,1.0,44.40365233620896,36.56198486780415,1.0,10,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
8160,46,2.0,54.61589082301326,34.37592445587682,8.0,1,12.0,1982,0.0,B,B,47,11319,0,1145.0,3,5,B
3879,143,2.0,52.733950312148544,34.71890116429108,8.0,13,16.0,1984,0.049863387,B,B,18,3746,9,75.0,3,1,B
3644,6,3.0,82.50410295433498,36.56198486780415,1.0,18,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
1662,144,3.0,92.85091971636191,55.60323992787004,12.0,10,17.0,2004,0.306977489,B,B,27,5148,14,1575.0,5,7,B
3713,93,1.0,45.955517773352135,19.42257578651241,1.0,3,21.0,2018,0.004949358,B,B,0,186,0,1177.4606946983547,0,0,B
4611,27,2.0,76.70954314419859,2.98950824657749,1.0,13,12.0,2016,0.072157581,B,B,2,629,1,1177.4606946983547,0,0,A
14032,1,1.0,40.4056849936283,39.81045968982267,0.0,4,17.0,1977,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
9515,23,2.0,61.58019558737804,36.56198486780415,1.0,24,25.0,1977,0.075778755,B,B,6,1437,3,1177.4606946983547,0,2,B
9321,90,2.0,56.35317476297042,52.53200745954072,8.0,1,15.0,1971,0.265088676,B,B,37,5288,0,1937.0,3,2,B
4985,23,2.0,63.02111913012411,36.56198486780415,1.0,4,25.0,1977,0.075778755,B,B,6,1437,3,1177.4606946983547,0,2,B
6256,37,2.0,48.2687257639134,29.769971301584377,6.0,6,9.0,1971,0.127811589,B,B,28,7287,5,320.0,1,3,B
7653,187,1.0,43.21462076509485,21.082945515723093,8.0,7,9.0,2003,0.041116354,B,B,53,14892,4,1177.4606946983547,1,4,B
12598,1,3.0,87.06207373560154,36.56198486780415,10.0,17,22.0,2015,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
